1/1/2011,500 Canal St,29.9518664,-90.0679995,1
1/1/2011,Behrman Hwy & Florence Ave,29.926412,-90.034004,1
1/1/2011,7500 Chef Menteur Hwy,30.0121093,-89.9996231,1
1/1/2011,Gen De Gaulle Dr & L B Landry Av,29.930562,-90.041681,1
1/2/2011,S Claiborne Ave & Fern St,29.9544809,-90.1189807,1
1/2/2011,S Carrollton Ave & Cleveland Ave,29.9735984,-90.1014431,1
1/2/2011,900 Toulouse St,29.9584144,-90.0672706,1
1/3/2011,Camp St & Canal St,29.9525012,-90.0682794,1
1/3/2011,Burgundy St & Canal St,29.9550853,-90.0716906,1
1/5/2011,Basin St & Bienville St,29.9578865,-90.0720425,1
1/6/2011,S Claiborne Ave & Louisiana Ave,29.940824,-90.097574,1
1/6/2011,S Broad St & Canal St,29.9655313,-90.0875247,1
1/7/2011,2200 Canal St,29.9625159,-90.083064,1
1/7/2011,Canal St & Treme St,29.9568,-90.074617,1
1/8/2011,1700 Gentilly Boulevard,29.9835646,-90.0767226,1
1/8/2011,A P Tureaud Ave & N Johnson St,29.9773171,-90.0671836,1
1/8/2011,I-610 W & St Bernard Ave,29.9926822,-90.077398,1
1/9/2011,Burgundy St & Toulouse St,29.9590389,-90.0681751,1
1/9/2011,N Claiborne Ave & Esplanade Ave,29.9692147,-90.0684981,1
1/9/2011,1100 North Rampart St,29.963721,-90.065188,1
1/10/2011,N Claiborne Ave & Esplanade Ave,29.9692147,-90.0684981,2
1/11/2011,Leake Ave & Maple St,29.9464335,-90.1351615,1
1/11/2011,5000 Canal St,29.9808641,-90.1101232,1
1/11/2011,4500 Bienville St,29.979182,-90.1035713,1
1/11/2011,3100 North Robertson St,29.9716439,-90.0429717,1
1/12/2011,9200 Airline Hwy,29.972157,-90.121239,1
1/12/2011,1200 Basin St,29.9564416,-90.0733126,1
1/12/2011,S Carrollton Ave & Walmsley Ave,29.9587961,-90.1172672,1
1/12/2011,1000 City Park Ave,29.98321,-90.09674,1
1/12/2011,I-10 W & Jeff Davis Overpass,29.9763987,-90.0907571,1
1/13/2011,1800 Napoleon Ave,29.928533,-90.1024345,1
1/13/2011,Chef Menteur Hwy & Louisa Dr,30.005256,-90.036321,1
